metric,value,step
agent0/rewards/,-0.7320619821548462,2020.0
agent0/rewards/,-0.9071272611618042,2024.0
agent0/rewards/,-0.948411762714386,2028.0
agent0/rewards/,-0.690538763999939,2032.0
agent0/rewards/,-0.8287652730941772,2036.0
agent0/rewards/,-0.9580601453781128,2040.0
agent0/rewards/,-1.0234683752059937,2044.0
agent0/rewards/,-0.8756763339042664,2048.0
agent0/rewards/,-0.7735368013381958,2052.0
agent0/rewards/,-1.2251166105270386,2056.0
agent0/rewards/,-0.8390070199966431,2060.0
agent0/rewards/,-0.9399070739746094,2064.0
agent0/rewards/,-0.8935902714729309,2068.0
agent0/rewards/,-1.078379511833191,2072.0
agent0/rewards/,-0.8578793406486511,2076.0
agent0/rewards/,-0.794634222984314,2080.0
agent0/rewards/,-0.8232172131538391,2084.0
agent0/rewards/,-0.7049767374992371,2088.0
agent0/rewards/,-0.816872239112854,2092.0
agent0/rewards/,-0.9441741108894348,2096.0
agent0/rewards/,-0.9484390616416931,2100.0
agent0/rewards/,-1.0665403604507446,2104.0
agent0/rewards/,-1.0839836597442627,2108.0
agent0/rewards/,-0.7623646259307861,2112.0
agent0/rewards/,-1.0839132070541382,2116.0
agent0/rewards/,-1.004860758781433,2120.0
agent0/rewards/,-0.9974721670150757,2124.0
agent0/rewards/,-0.6019477248191833,2128.0
agent0/rewards/,-0.9549433588981628,2132.0
agent0/rewards/,-0.6255601644515991,2136.0
agent0/rewards/,-1.014233946800232,2140.0
agent0/rewards/,-0.8903144598007202,2144.0
agent0/rewards/,-0.9336403012275696,2148.0
agent0/rewards/,-0.9461036324501038,2152.0
agent0/rewards/,-1.1370456218719482,2156.0
agent0/rewards/,-0.6522676944732666,2160.0
agent0/rewards/,-0.8459474444389343,2164.0
agent0/rewards/,-0.8291869759559631,2168.0
agent0/rewards/,-0.9066032767295837,2172.0
agent0/rewards/,-0.6587387919425964,2176.0
agent0/rewards/,-1.0711861848831177,2180.0
agent0/rewards/,-0.9505249261856079,2184.0
agent0/rewards/,-0.9542279839515686,2188.0
agent0/rewards/,-0.6246926188468933,2192.0
agent0/rewards/,-0.882361650466919,2196.0
agent0/rewards/,-0.6609827280044556,2200.0
agent0/rewards/,-0.8751806616783142,2204.0
agent0/rewards/,-0.7008248567581177,2208.0
agent0/rewards/,-0.7732149958610535,2212.0
agent0/rewards/,-0.8632107973098755,2216.0
agent0/rewards/,-0.8322432637214661,2220.0
agent0/rewards/,-0.9517940878868103,2224.0
agent0/rewards/,-1.0654100179672241,2228.0
agent0/rewards/,-0.9366837739944458,2232.0
agent0/rewards/,-0.9203810095787048,2236.0
agent0/rewards/,-0.8583481907844543,2240.0
agent0/rewards/,-0.8585349321365356,2244.0
agent0/rewards/,-0.8220795392990112,2248.0
agent0/rewards/,-0.7210506796836853,2252.0
agent0/rewards/,-0.7490752935409546,2256.0
agent0/rewards/,-0.8263933062553406,2260.0
agent0/rewards/,-0.812415599822998,2264.0
agent0/rewards/,-0.7475018501281738,2268.0
agent0/rewards/,-0.7473254799842834,2272.0
agent0/rewards/,-0.5794406533241272,2276.0
agent0/rewards/,-0.7005552649497986,2280.0
agent0/rewards/,-0.8798426985740662,2284.0
agent0/rewards/,-0.6904714107513428,2288.0
